Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To
102	Glitter Trans-Purple	3A2B82	Glitter	16	67	192	20	2000	2025
116	Speckle Black-Copper	5F4E47	Speckle	5	3	239	5	2006	2006
151	Speckle Black-Gold	AB9421	Speckle	2	4	210	6	2010	2011
111	Speckle Black-Silver	7C7E7C	Speckle	15	49	226	19	2005	2013
117	Speckle DBGray-Silver	4A6363	Speckle	5	7	212	9	2006	2006
142	Mx Aqua Green	27867E	Modulex			27	14		
128	Mx Black	000000	Modulex			313	228		
132	Mx Brown	907450	Modulex			31	28		
133	Mx Buff	DEC69C	Modulex			39	40		
126	Mx Charcoal Gray	595D60	Modulex			16	3		
149	Mx Clear	FFFFFF	Modulex			56	39		
214	Mx Foil Dark Blue	0057A6	Modulex			3	1		
210	Mx Foil Dark Gray	595D60	Modulex			5	1		
212	Mx Foil Dark Green	006400	Modulex			4			
215	Mx Foil Light Blue	68AECE	Modulex			3			
211	Mx Foil Light Gray	9C9C9C	Modulex			5			
213	Mx Foil Light Green	7DB538	Modulex			3	1		
219	Mx Foil Orange	F7AD63	Modulex			3	1		
217	Mx Foil Red	8B0000	Modulex			3	1		
216	Mx Foil Violet	4B0082	Modulex			3			
218	Mx Foil Yellow	FED557	Modulex			3			
139	Mx Lemon	BDC618	Modulex			22	24		
124	Mx Light Bluish Gray	AfB5C7	Modulex			23	4		
125	Mx Light Gray	9C9C9C	Modulex			63	59		
136	Mx Light Orange	F7AD63	Modulex			17	7		
137	Mx Light Yellow	FFE371	Modulex			20	16		
144	Mx Medium Blue	61AFFF	Modulex			19	10		
138	Mx Ochre Yellow	FED557	Modulex			21	20		
140	Mx Olive Green	7C9051	Modulex			23	21		
135	Mx Orange	F47B30	Modulex			28	25		
145	Mx Pastel Blue	68AECE	Modulex			24	23		
141	Mx Pastel Green	7DB538	Modulex			31	35		
148	Mx Pink	F785B1	Modulex			23	22		
130	Mx Pink Red	F45C40	Modulex			15	8		
129	Mx Red	B52C20	Modulex			29	27		
146	Mx Teal Blue	467083	Modulex			14	16		
134	Mx Terracotta	5C5030	Modulex			30	36		
143	Mx Tile Blue	0057A6	Modulex			85	1		
131	Mx Tile Brown	330000	Modulex			172	3		
127	Mx Tile Gray	6B5A5A	Modulex			227	1		
147	Mx Violet	BD7D85	Modulex			22	8		
123	Mx White	FFFFFF	Modulex			753	490		
